num,id_unique,nameuser,ratinguser,dateuser,textreviewuser,propertyinfo,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,propertytype,ratingprop,good_label,conve_label,impre_label,superb_label,propertylabel,reviewamount,randomrate,propertyaddress,longitude,latitude,landmarknear,,,
1753,329109,Vicke T. O.,6,17-Jun-18,Very dirty villa hot water facilities not available in every bathroom. Very disappointing and I give up I no longer want to order Villa Istana Bunga.,Villa Istana Bunga - Chamomile,0,0,0,0,0,0,0,1,VILLAS,7.3,0,1,0,0,Convenient,6,4,"Jalan Kol Masturi KM 9 Parongpong Cisarua, Lembang, Parongpong, Bandung, Jawa Barat, Indonesia",-6.8028641,107.5829828,Kawah Putih,,,
2174,331058,Prianugra N.,9.7,07-Jan-20,"The Villa is quite big, 4 stories long with 6 bedrooms, kitchen, 3 living rooms, amenities for your staying needs (kitchen utensils, food utensils, laundry utensils, Hair dryer, etc.) and a swimming pool. Every room is clean as well. I really like the view and the atmosphere of the highland. Each room is very spacious, with a king-sized bed and its own bathroom. There's also a mini mart within a walking distance.The guard on duty is very helpful as well, every time I phone them to get help with something, they came immediately. The villa really accommodated our need for stay-cation, and the establishment is family-friendly as well. Me and my friends really enjoyed our stay, and we will definitely come back here for our next stay in Bandung.",6 BR Hill View Villa with a private pool 3,0,0,0,0,0,0,0,1,VILLAS,8.6,0,0,1,0,Impressive,12,5,"Jalan Dago Pakar Permai II No.53C Resort Dago Pakar , Dago Atas, Bandung, Jawa Barat, Indonesia, 40198",-6.8660319,107.635536,Taman Hutan Raya Juanda,,,
2134,341956,Adrian H.,6,31-Jan-22,"The hotel is clean, the food is delicious, the location is strategic. Just before I checked out there was an incident that made me and my family very, very disappointed because of the officers/staff who dared to open the room door before there were instructions for checking out from the front office/receptionist. So, the story is that I was in installments to put our suitcases and belongings into the car, my wife and child were in a room with a locked door, suddenly a hotel clerk/staff opened the room door with the excuse that he saw that I was carrying my suitcase to the car even though at that time I had not asked the receptionist to check out.",Creative Restart Hotel (CARTEL) by Damn I Love Indonesia,0,0,0,1,0,0,0,0,HOTELS,8.3,0,0,1,0,Impressive,24,5,"Jl. Ir. H. Juanda No.92, Desa Ciburial, Kec. Cimenyan, Dago Atas, Bandung, Jawa Barat, Indonesia, 40135",-6.8648568,107.626441,Taman Hutan Raya Juanda,,,
1403,342804,Dian A.,8.4,31-Aug-21,,Miracle D'GYP Signature,0,0,0,0,0,0,0,1,VILLAS,7.8,0,1,0,0,Convenient,75,4,"Kampung Ciater RT.01 RW 01 Desa Ciater,Kec.Ciater Kab.Subang - Jawa Barat, Lembang, Ciater, Bandung, Indonesia, 41217",-6.7471523,107.6392892,Kawah Putih,,,
939,361944,Afina,9.7,15-Jun-21,"Very enjoy staying here. Nice service, very attentive to guests, and gorgeous place to take pictures with. Wonderful moments",The Palais Dago Hotel,0,0,0,1,0,0,0,0,HOTELS,8.5,0,0,1,0,Impressive,1447,4,"Jl. Ir. H. Djuanda No. 90 Bandung, Dago, Bandung, Jawa Barat, Indonesia, 40122",-6.8638594,107.6262114,Geological Museum,,,
587,364017,iwan h.,5.8,08-Jan-22,So loud and so much noise came from the bar even during workday night. A place for stay up late hopper.,Hotel Riau Bandung,0,0,1,0,0,0,0,0,GUEST HOUSES,7.9,0,1,0,0,Convenient,970,5,"Jl. RE. Martadinata No. 191, Sumurbandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9115576,107.6279597,Sate Building,,,
875,364792,Sofian F.,9.7,03-Jan-22,,Panen Hotel by Tebu Group,0,0,0,1,0,0,0,0,HOTELS,8.6,0,0,1,0,Impressive,137,5,"LLRE Martadinata St No.100, Citarum, Bandung Wetan, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9091967,107.6247343,Geological Museum,,,
292,374356,my name i. A.,9.7,14-Nov-21,To be frank I pick the most cheaper hotel because I am a budget friendly person at that time and then I found this hotel and just randomly pick this hotel and unexpectedly turns out this hotel is really good & comfortable. Like I would go to this hotel for the second time because it 's cheap and they have a great room service and I hope they will keep improving in their service and the room and everything but over all I will give it a 5. Thanks!,The Summit Siliwangi Hotel,0,0,0,1,0,0,0,0,HOTELS,8.4,0,0,1,0,Impressive,747,3,"Jl. Seram No.5, Citarum, kec.Bandung Wetan,Kota Bandung, Jawa Barat, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.9077896,107.6127927,Sate Building,,,
335,375403,emmanuel j.,8.5,10-Nov-21,"Modern furniture, marriot standard same as other courtyard, full breakfast, really enjoy stay at couryard as a part of marriot company.",Courtyard by Marriott Bandung Dago,0,0,0,1,0,0,0,0,HOTELS,8.6,0,0,1,0,Impressive,2093,4,"Jalan Ir. H. Juanda No. 33, Dago, Bandung, Jawa Barat, Indonesia, 40106",-6.9041809,107.6103882,Sate Building,,,
25,375799,Novita,9.7,14-Dec-21,,Hotel Bumi Asih Gedung Sate Bandung,0,0,0,1,0,0,0,0,HOTELS,8.5,0,0,1,0,Impressive,1882,4,"Jalan Cilamaya No 1, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.9032993,107.6166768,Sate Building,,,
1356,378551,Realita S. P.,8.5,07-Feb-22,"Super nice to stay here with your family or friends. The rooms, staff, ambience are best. Quiet far from main road, but it is pay off with the views and vibes. Recommended!",Omah Angkul Angkul Pool Villa,0,0,0,0,0,0,0,1,VILLAS,8.4,0,0,1,0,Impressive,128,3,"Jalan Raya Lembang Asri No.110 Lembang, Lembang, Bandung, Jawa Barat, Indonesia, 40263",-6.7947958,107.5996385,Kawah Putih,,,
1994,385433,florastiayu c.,5.1,22-Aug-20,"The worse hotel I've ever stayed. I wonder why agent recommended this hotel in their list. It was like a haunted house. Dirty, the room was completely bad. I wish I never stayed there anymore even its free",Hotel Istana Bandung,0,0,0,1,0,0,0,0,HOTELS,6.5,1,0,0,0,Good,1060,5,"Jalan Lembong No. 44, Braga, Bandung, Jawa Barat, Indonesia, 40110",-6.9178044,107.6121198,"Braga, Asia Afrika",,,
1278,386965,Wynda,5.7,29-Mar-21,The location is too hard to find,Bukit Cikahuripan Resort,1,0,0,0,0,0,0,0,RESORTS,8.7,0,0,1,0,Impressive,1020,4,"Jalan Manoko No. 28, RT. 02 / RW. 08, Desa Cikahuripan, Kampung Cisaroni, Kel. Cikahuripan, Lembang, Lembang, Bandung, Jawa Barat, Indonesia",-6.8049347,107.6090419,Kawah Putih,,,
1298,388037,vany p.,8.5,30-Oct-20,Dirty rooms are not maintained until asked for sweep and mop 2x. There was a gathering event right in the front of the room that dangdutan taut until midnight when my destination to the resort to rest. The next room is noisy and translucent because the front window of the room is not hollow closed.,Cikole Jayagiri Hotel & Resort - Lembang,0,0,0,1,0,0,0,0,HOTELS,8,0,1,0,0,Convenient,236,4,"Jalan Tangkuban Perahu KM.28 No.147, Lembang - Cikole , Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.7826798,107.6503646,Kawah Putih,,,
1984,388379,Reza P.,5.6,17-Dec-21,Hotel location is too crowded due to around tradisional market place. Like old hotel. Breakfast was not good.,Pasar Baru Square Hotel Bandung,0,0,0,1,0,0,0,0,HOTELS,8.6,0,0,1,0,Impressive,3463,3,"Jl. Otto Iskandar Dinata No.70, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40180",-6.9178719,107.6033253,"Braga, Asia Afrika",,,
1342,388817,Dyan A. P.,10,30-Mar-21,"Spacious, comfortable, safe, clean, quiet, beautiful, friendly service, recommendations for families who want to stay at the villa, then close to tourist objects too. Guaranteed not to disappoint. thank you",Runia Lembang,0,0,0,0,0,0,0,1,VILLAS,8.8,0,0,1,0,Impressive,84,5,"Jalan Kolonel Masturi Km.4 Lembang Asri, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8293023,107.5542432,Kawah Putih,,,
450,389185,Listy D. A.,8.5,18-Oct-21,Recommended for millennial people.,Urban Merdeka Hotel By UHM,0,0,0,1,0,0,0,0,HOTELS,8.1,0,1,0,0,Convenient,111,5,"Jl.Merdeka No.49,Bandung Sumur Bandung,babakan Ciamis, Merdeka, Bandung, Jawa Barat, Indonesia, 40117",-6.9073859,107.6101802,Sate Building,,,
447,389364,Andhika W.,8.5,22-Jan-20,Gerat price and great room. Great location as well,Ariandri Residence Hotel Cilaki,0,0,0,1,0,0,0,0,HOTELS,8.2,0,1,0,0,Convenient,950,5,"Jalan Cilaki No. 31, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9056724,107.6277978,Sate Building,,,
1507,389385,Joko P.,8.5,08-Jan-22,"t turns out that if you use the treatment application and the reality in the place we are going to, we immediately book at a different location, if you use our application, you cannot choose the view that you want even though there are lots of empty rooms according to the application, but if you go directly in a free place to choose, please explain.",Lembah Sarimas Resort Hotel Ciater,1,0,0,0,0,0,0,0,RESORTS,8.5,0,0,1,0,Impressive,2786,4,"Jl. Raya Ciater, Palasari, Ciater, Kabupaten Subang, , Lembang, Ciater, Bandung, Indonesia, 41280",-6.7267606,107.6556074,Kawah Putih,,,
1085,391035,FONG L. M.,6,30-Dec-20,"Too noisy to sleep, water draining system at shower room need to improve.",MS Hotel Ciwidey,0,0,0,1,0,0,0,0,HOTELS,7.9,0,1,0,0,Convenient,379,4,"Jalan Ciwidey - Rancabali Km. 8 Ciwidey Bandung, Ciwidey, Bandung, Jawa Barat, Indonesia, 40972",-7.1181185,107.434938,Kawah Putih,,,
1310,391549,Jamilah J.,9.4,30-Mar-22,"I don't want to go home when I'm there. 2 days not satisfied. Want longer. Very cold. Next will be there again. For advice, the back direction to the bathroom is given a roof so if it rains to the bathroom it doesn't rain.",DGYP 5 Ciater,0,0,0,0,0,0,0,1,VILLAS,7.5,0,1,0,0,Convenient,45,5,"Parkir Barat Wisata Sari Ater, Ciater, Jawa Barat, Lembang, Ciater, Bandung, Indonesia, 41279",-6.7398681,107.6532326,Kawah Putih,,,
439,392153,Julius K.,6,20-Nov-21,"All the rooms are smoking room. I was really disappointed, because before purchasing this hotel, it stated that there was some non smoking room. When I entered the room, not only very strong smoking smell, but also the bed was so dirty and the toilet also was so dirty. I have not stayed at very bad hotel like this before. So, I did not stay, and I directly checked out, so I lost some money purchasing this one night stay but I was fine. I will never get back to this hotel. So bad service and facility.",Ariandri Residence Hotel Cilaki,0,0,0,1,0,0,0,0,HOTELS,8.2,0,1,0,0,Convenient,950,2,"Jalan Cilaki No. 31, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9056724,107.6277978,Sate Building,,,
2388,395062,Theresia A. S.,8.8,23-Aug-20,good choice for a quick traveller. facilities & comfort worth the price. but no bottle water in the room and sometimes smells smoke even it is non smoking room. parking area is under construction so it is a little dirty.,Wirton Hotel,0,0,0,1,0,0,0,0,HOTELS,8.2,0,1,0,0,Convenient,3720,5,"JL. Ir. H. Djuanda, No. 395, Dago Atas, Bandung, Jawa Barat, Indonesia, 40134",-6.8692365,107.6201911,Taman Hutan Raya Juanda,,,
789,405099,Shaskia,8.4,05-Jul-19,"It was great, the price is okay compared with that we get. The room has refrigerator and water heater, the shower works well. Ac also great but the remote doesn't work well because the battery is low. Also the room is not really clean, having a bit dusty feeling and if you pay attention to some floor in corner of the room under curtain it's a bit unclean. Also witnessing some worker smoked while cleaning other room when we checked out.",Hotel Corsica,0,0,1,0,0,0,0,0,GUEST HOUSES,8.5,0,0,1,0,Impressive,1496,5,"Jalan Supratman No.43A, Bandung Wetan , Cibeunying, Bandung, Jawa Barat, Indonesia, 40113",-6.9046339,107.6281446,Geological Museum,,,
1681,407529,Frana G.,8.8,07-Jan-20,"Very nice place to stay with family/friend(s). Near Alun-alun lembang so basically it's a strategic place and not so far from the main street. I've got room no.5, and unfortunately the wifi signal couldn't reach my room.",Villa de Rossa,0,0,0,0,0,0,0,1,VILLAS,8.6,0,0,1,0,Impressive,2930,4,"Jalan Panorama 1 No. 34-36, Lembang, Kayuambon, Lembang, Kabupaten Bandung Barat, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8148527,107.622976,Kawah Putih,,,
208,414862,Johannes A. S.,8.5,25-Dec-21,,Amaroossa Bandung,0,0,0,1,0,0,0,0,HOTELS,8.2,0,1,0,0,Convenient,5369,4,"Jalan Aceh No 71A, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.908499,107.6184802,Sate Building,,,
649,422748,Annisa R.,10,11-Mar-22,"Had a very pleasant stay at Pullman Bandung. Got such great complimentary (Room Upgrade, mini bar, and cakes + snacks) because this was our honeymoon stay. Good job Pullman Bandung team especially. Mba Marina, Feby, Dita from Guest Relations Team and the awesome housekeeping team! Will definitely stay here again __",Pullman Bandung Grand Central,0,0,0,1,0,0,0,0,HOTELS,8.6,0,0,1,0,Impressive,675,5,"Jl Diponegoro No 27, Citarum, Bandung Wetan, Cibeunying, Bandung, Jawa Barat, Indonesia, 40114",-6.9006712,107.6174754,Geological Museum,,,
837,430587,Citra H.,9.6,14-Dec-21,"Everything was good, however breakfast menu selection could be better.",Amaroossa Bandung,0,0,0,1,0,0,0,0,HOTELS,8.2,0,0,1,0,Impressive,5369,4,"Jalan Aceh No 71A, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.908499,107.6184802,Geological Museum,,,
1871,436446,Dewanggi p.,9.4,30-Jul-18,"The place is comfortable, very fitting for families the kitchen equipment is good, so we dont need to bother. Its just like the floor is not cleaned so when we step on his feet so dirty.",Notes from the Mountains,0,0,0,0,0,0,0,1,VILLAS,8.7,0,0,1,0,Impressive,24,5,"Jalan Krisan No.1,RT 03 RW 010, Kavling Stroberi, Terusan Sersan Bajuri, Cihideung, Parongpong, Lembang, Bandung, Jawa Barat, Indonesia, 40558",-6.8122843,107.596327,Kawah Putih,,,
1000,449199,JIMMY I. S.,6,06-Mar-22,"For me and my family the service was not satisfactory, especially when we just arrived there were no officers to help lower the goods into the trolley all by themselves. Even after that our luggage trolley was still outside there was no one to help bring it into the reception area. Maybe this was the first and last for us. The parking area is very narrow. The rooms are quite good even though it was beyond our expectations. Thank you.",Grand Tebu Hotel,0,0,0,1,0,0,0,0,HOTELS,8.5,0,0,1,0,Impressive,7431,3,"Jalan L.L.R.E Martadinata (Riau) No. 207, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9128792,107.6296937,Geological Museum,,,
418,454009,yani t. a.,9.4,20-Feb-22,"This is above an average for budget hotel. What I love is they have a good air circulation (balcony door can be opened to get some fresh air). Though the furniture may be some old and stain with smoke burn but overall room was clean. Compared to budget hotel with same price, this hotel is excellent. Wifi works well, naerby to city centre and only few steps to get a good coffee. Minus = I don't see amenities like electrical teapot with coffee and tea in my room.",Tibera Taman Cibeunying,0,0,0,1,0,0,0,0,HOTELS,8.7,0,0,1,0,Impressive,2617,5,"Jalan Taman Cibeunying Selatan No.7, Bandung Wetan, Riau Street, Bandung, Jawa Barat, Indonesia, 40104",-6.9081216,107.6261752,Sate Building,,,
261,454289,Akbari S.,5.4,26-Dec-21,"The room doesn't match the photo of the basic dusty floor cupboard, it's really bad.",OYO 90479 The Ethnic Hotel Bandung (all Suites),0,0,0,1,0,0,0,0,HOTELS,7.2,0,1,0,0,Convenient,35,4,"Stadion Siliwangi, Jalan Lombok, Citarum, Jawa Barat, 40113, Indonesia, Bandung, Sumurbandung, Bandung, Jawa Barat, Indonesia, 40103",-6.91056,107.6186236,Sate Building,,,
2193,458630,Akmad A.,10,31-Jan-22,,Dago Heuvel Resort and Villa,0,0,0,0,0,0,0,1,VILLAS,8.4,0,0,1,0,Impressive,492,4,"Jl.Ciburial Indah No.45, Dago Pakar, Bandung, Dago, Bandung, Jawa Barat, Indonesia, 40188",-6.8599688,107.642993,Taman Hutan Raya Juanda,,,
767,460867,philip i.,8.5,30-Jan-19,Good for family. Nice environment.,De'Qur Hotel Bandung,0,0,0,1,0,0,0,0,HOTELS,7.6,0,1,0,0,Convenient,866,5,"Jalan Dipatiukur No.27, Bandung, Dago, Bandung, Jawa Barat, Indonesia, 40122",-6.8955135,107.6163928,Geological Museum,,,
519,461473,Firli F.,9.7,07-Dec-21,"Very happy, it's strategic to be able to go to the mall, there is an Indomaret under the aprtm, KFC in front of it.",La Grande Apartment By Handoko,0,1,0,0,0,0,0,0,APARTMENTS,8.2,0,0,1,0,Impressive,36,5,"Jl. Merdeka No.25-29, Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",-6.9092345,107.6103071,Sate Building,,,
2173,462214,Chandrika N. D.,9.1,04-Apr-21,,Accordia Dago Hotel,0,0,0,1,0,0,0,0,HOTELS,8.4,0,0,1,0,Impressive,2231,5,"Dago Golf Raya 49, Dago Atas, Bandung, Jawa Barat, Indonesia, 40124",-6.8658619,107.6258052,Taman Hutan Raya Juanda,,,
960,468917,Sutiana,8.5,01-Oct-19,,New B Hotel Bandung,0,0,0,1,0,0,0,0,HOTELS,7.5,0,1,0,0,Convenient,967,5,"Jalan Wr. Supratman No. 23 Cihapit Bandung Wetan Kota Bandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40112",-6.9065359,107.6294163,Geological Museum,,,
959,469475,Faris S.,8.8,21-Oct-19,Strategic location and have easy access to Gasibu,New B Hotel Bandung,0,0,0,1,0,0,0,0,HOTELS,7.5,0,1,0,0,Convenient,967,4,"Jalan Wr. Supratman No. 23 Cihapit Bandung Wetan Kota Bandung, Riau Street, Bandung, Jawa Barat, Indonesia, 40112",-6.9065359,107.6294163,Geological Museum,,,
985,469775,ROSALINDA R.,8.5,20-Mar-22,"I will be staying here again. Strategic location, friendly hotel staff, comfortable room. Keep tje good job.",Best Western Premier La Grande Hotel,0,0,0,1,0,0,0,0,HOTELS,8.6,0,0,1,0,Impressive,8989,4,"Jalan Merdeka No. 25 - 29 , Merdeka, Bandung, Jawa Barat, Indonesia, 40117",-6.9092345,107.6103071,Geological Museum,,,
1691,473068,Muhammad A.,8.5,27-Oct-21,,RumaTerra B & B,0,0,0,1,0,0,0,0,HOTELS,8.1,0,1,0,0,Convenient,614,5,"Jl Tangkuban Perahu No 22 Lembang, Kabupaten Bandung Barat, Jawa Barat, Indonesia, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8134369,107.623428,Kawah Putih,,,
375,475087,Fariz A.,9.7,23-Jan-22,Clean and comfortable feels like home. The staff is very friendly. The facilities are also okay.,Rumah Tamu Muararajeun,0,0,1,0,0,0,0,0,GUEST HOUSES,9.4,0,0,0,1,Superb,20,4,"Jalan Muararajeun 24, Kel Cihaurgeulis Kec Cibeunying kaler Bandung Jawa barat, Cibeunying, Bandung, Jawa Barat, Indonesia, 40112",-6.9022422,107.6281215,Sate Building,,,
2122,475720,Nufani,6,22-Jan-22,There are so many rules that haven't been entered yet. The view is okay. But at night the lights often go out. And a lot of lizard t*i fell.,Mandevilla,0,0,0,0,0,0,0,1,VILLAS,8.4,0,0,1,0,Impressive,7,4,"Dago Giri 168, Kabupaten Bandung Barat-Jawa Barat, Dago Atas, Bandung, Jawa Barat, Indonesia, 40158",-6.8482536,107.6267538,Taman Hutan Raya Juanda,,,
